"Time","Source","SourcePort","Destination","DestinationPort","Client","Session","Type","ReturnCode","Seq","PayloadHex","Service","Method","SdEntries","SdEndpoints"
"1789021136.113377","192.168.31.85","54746","192.168.31.248","30509","5566","0002","00","00","3","0100000003000001a089f82901060300","1111","1001","",""
"1789021136.113389","192.168.31.85","54746","192.168.31.248","30509","5566","0002","00","00","3","0100000003000001a089f82901060300","1111","1001","",""
"1789021136.120021","192.168.31.248","30509","192.168.31.85","54746","5566","0002","80","00","","","1111","1001","",""
"1789021136.120804","192.168.31.248","30509","192.168.31.85","54746","5566","0002","80","00","","","1111","1001","",""
"1789021136.212557","192.168.31.85","54746","192.168.31.248","30509","5566","0003","00","00","4","0100000004000001a089f82967080300","1111","1001","",""
"1789021136.212569","192.168.31.85","54746","192.168.31.248","30509","5566","0003","00","00","4","0100000004000001a089f82967080300","1111","1001","",""
"1789021136.220132","192.168.31.248","30509","192.168.31.85","54746","5566","0003","80","00","","","1111","1001","",""
"1789021136.220811","192.168.31.248","30509","192.168.31.85","54746","5566","0003","80","00","","","1111","1001","",""
"1789021136.315917","192.168.31.85","54746","192.168.31.248","30509","5566","0004","00","00","5","0100000005000001a089f829cc0a0300","1111","1001","",""
"1789021136.315928","192.168.31.85","54746","192.168.31.248","30509","5566","0004","00","00","5","0100000005000001a089f829cc0a0300","1111","1001","",""
"1789021136.322275","192.168.31.248","30509","192.168.31.85","54746","5566","0004","80","00","","","1111","1001","",""
"1789021136.323008","192.168.31.248","30509","192.168.31.85","54746","5566","0004","80","00","","","1111","1001","",""
"1789021136.416544","192.168.31.85","54746","192.168.31.248","30509","5566","0005","00","00","6","0100000006000001a089f82a310c0300","1111","1001","",""
"1789021136.416555","192.168.31.85","54746","192.168.31.248","30509","5566","0005","00","00","6","0100000006000001a089f82a310c0300","1111","1001","",""
"1789021136.422833","192.168.31.248","30509","192.168.31.85","54746","5566","0005","80","00","","","1111","1001","",""
"1789021136.426736","192.168.31.248","30509","192.168.31.85","54746","5566","0005","80","00","","","1111","1001","",""
"1789021136.520809","192.168.31.85","54746","192.168.31.248","30509","5566","0006","00","00","7","0100000007000001a089f82a990e0300","1111","1001","",""
"1789021136.520820","192.168.31.85","54746","192.168.31.248","30509","5566","0006","00","00","7","0100000007000001a089f82a990e0300","1111","1001","",""
"1789021136.527205","192.168.31.248","30509","192.168.31.85","54746","5566","0006","80","00","","","1111","1001","",""
"1789021136.528121","192.168.31.248","30509","192.168.31.85","54746","5566","0006","80","00","","","1111","1001","",""
"1789021136.622346","192.168.31.85","54746","192.168.31.248","30509","5566","0007","00","00","8","0100000008000001a089f82afe100300","1111","1001","",""
"1789021136.622358","192.168.31.85","54746","192.168.31.248","30509","5566","0007","00","00","8","0100000008000001a089f82afe100300","1111","1001","",""
"1789021136.629032","192.168.31.248","30509","192.168.31.85","54746","5566","0007","80","00","","","1111","1001","",""
"1789021136.629842","192.168.31.248","30509","192.168.31.85","54746","5566","0007","80","00","","","1111","1001","",""
"1789021136.725503","192.168.31.85","54746","192.168.31.248","30509","5566","0008","00","00","9","0100000009000001a089f82b64120300","1111","1001","",""
"1789021136.725515","192.168.31.85","54746","192.168.31.248","30509","5566","0008","00","00","9","0100000009000001a089f82b64120300","1111","1001","",""
"1789021136.732436","192.168.31.248","30509","192.168.31.85","54746","5566","0008","80","00","","","1111","1001","",""
"1789021136.733726","192.168.31.248","30509","192.168.31.85","54746","5566","0008","80","00","","","1111","1001","",""
"1789021136.823293","192.168.31.85","54746","192.168.31.248","30509","5566","0009","00","00","10","010000000a000001a089f82bc9140300","1111","1001","",""
"1789021136.823305","192.168.31.85","54746","192.168.31.248","30509","5566","0009","00","00","10","010000000a000001a089f82bc9140300","1111","1001","",""
"1789021136.830300","192.168.31.248","30509","192.168.31.85","54746","5566","0009","80","00","","","1111","1001","",""
"1789021136.831205","192.168.31.248","30509","192.168.31.85","54746","5566","0009","80","00","","","1111","1001","",""
"1789021136.925725","192.168.31.85","54746","192.168.31.248","30509","5566","000a","00","00","11","010000000b000001a089f82c2e160300","1111","1001","",""
"1789021136.925737","192.168.31.85","54746","192.168.31.248","30509","5566","000a","00","00","11","010000000b000001a089f82c2e160300","1111","1001","",""
"1789021136.932238","192.168.31.248","30509","192.168.31.85","54746","5566","000a","80","00","","","1111","1001","",""
"1789021136.932898","192.168.31.248","30509","192.168.31.85","54746","5566","000a","80","00","","","1111","1001","",""
"1789021137.028025","192.168.31.85","54746","192.168.31.248","30509","5566","000b","00","00","12","010000000c000001a089f82c93180300","1111","1001","",""
"1789021137.028037","192.168.31.85","54746","192.168.31.248","30509","5566","000b","00","00","12","010000000c000001a089f82c93180300","1111","1001","",""
"1789021137.035475","192.168.31.248","30509","192.168.31.85","54746","5566","000b","80","00","","","1111","1001","",""
"1789021137.036146","192.168.31.248","30509","192.168.31.85","54746","5566","000b","80","00","","","1111","1001","",""
